Id	Text	Speaker	Action	OnScreen Characters	Background	Music
1	"Well... this may sound weird... but I've been feeling sexually attracted to food."	Hameru Tabe		Izumi - Neutral	Infirmary	Mute
	"Oh, so that was you..."	Izumi		Izumi - Neutral	Infirmary	
	"Can you wait here a little bit?"	Izumi		Izumi - Happy	Infirmary	
	"Okay..."	Hameru Tabe		Izumi - Happy	Infirmary	
		None		None	Black screen	Eggman
	The school staff has been finding fucked food for a while now.	None		None	CG - Arrested ending	
	They may have found the fucked Lasagna, but no more than that.	None		None	CG - Arrested ending	
	So who has been fucking food besides me? Maybe I sleepwalked and fucked more than I remember.	None		None	CG - Arrested ending	
	Maybe...	None		None	CG - Arrested ending	
	But now I am arrested...	None		None	CG - Arrested ending	
	I am disgraced...	None		None	CG - Arrested ending	
	My dream is over...	None		None	CG - Arrested ending	
	Besides, this food they serve here is terrible to fuck.	None		None	CG - Arrested ending	
			END			
