Id	Text	Speaker	Action	OnScreen Characters	Background	Music
1	When I arrived, a Beefy Dude was waiting at the gates.	None		None	School gates	Routine
	"Hey! You must be the new guy!"	Beefy Dude		Keisuke - Happy	School gates	
	"I am Urayama Keisuke! You can call me Keisuke-kun."	Keisuke		Keisuke - Happy	School gates	
	He extends his hand to me, as if he knew me forever.	None		Keisuke - Happy	School gates	
	[OPT] Shake his hand	None	S1-3	Keisuke - Happy	School gates	
	[OPT] Don't shake his hand	None	S1-2	Keisuke - Happy	School gates	
						
2	I just nod my head and pretend I didn't see his hand.	None		Keisuke - Happy	School gates	
	"Okay... So... You are?"	Keisuke		Keisuke - Awkward	School gates	
	"I am Hameru Tabe. How did you know I'm new around here?"	Hameru Tabe		Keisuke - Awkward	School gates	
	"Oh, well. I know everyone around here. And I think everyone knows me!"	Keisuke		Keisuke - Showing Off	School gates	
	"Cool."	Hameru Tabe		Keisuke - Showing Off	School gates	
	I'm not really impressed, he is just a jock.	None		Keisuke - Showing Off	School gates	
	"So, where should we start?"	Hameru Tabe	S1-4	Keisuke - Happy	School gates	
						
3	With a hard grip, he grabs my hand and I feel like he is really welcoming me, and not doing this as an obligation of some kind.	None		Keisuke - Happy	School gates	
	"I am Hameru Tabe. How did you know I'm new around here?"	Hameru Tabe		Keisuke - Happy	School gates	
	"Oh, well. I know everyone around here. And I think everyone knows me!"	Keisuke		Keisuke - Showing Off	School gates	
	"I am your designated tour guide. Maybe you should call me Keisuke-senpai haha"	Keisuke		Keisuke - Showing Off	School gates	
	[OPT] "Oh, we'll see about that. So, where should we start?"	None	S1-4	Keisuke - Showing Off	School gates	
	[OPT] "Okay, Keisuke-senpai. What will you show me first?"	None	S1-5	Keisuke - Showing Off	School gates	
						
4	"Well, we can start by going in."	Keisuke		Keisuke - Happy	School gates	
	"Let's go!"	Hameru Tabe	S1-6	Keisuke - Happy	School gates	
						
5	"Oh... Okay... I wasn't expecting that. Normally, people don't go with my flow."	Keisuke		Keisuke - Embarrassed	School gates	
	"Well, you seem cool."	Hameru Tabe		Keisuke - Embarrassed		
	"Thanks! You seem cool too."	Keisuke		Keisuke - Embarrassed		
	"Anyway, let's go in, there is a lot for you to see!"	Keisuke	S1-6	Keisuke - Happy	School gates	
						
6	We start walking through corridors and more corridors.	None		None	School corridor	Theme
	"This school feels like a maze."	Hameru Tabe		None	School corridor	
	"You'll get used to it. Look, there are the kitchens that we use on most classes."	Keisuke		Keisuke - Happy	School corridor	
	From the corridor that we are now, I can see a beautiful kitchen with long islands, each with a counter top stove.	None		None	School corridor	
	Everything is so clean and shiny, so much better than what I had at home.	None		None	School corridor	
	All the appliances and cooking utensils are like new, and I wonder how often they change everything there.	None		None	School corridor	
	Suddenly, I realize Keisuke is not around anymore.	None		None	School corridor	
	I think he was so focused on showing everything at the school that he didn't notice I stopped to admire this beautiful kitchen.	None		None	School corridor	
	I decide to enter the kitchen to see everything from a closer distance.	None		None	School corridor	
	I enter and there is a smell of Italian food. I look around and on one of the corners of the kitchen...	None		None	Kitchen	
	"Oh my... what is that?"	Hameru Tabe		None	Kitchen	
	The most beautiful Lasagna I've ever seen. No. It's the most beautiful dish I've ever seen.	None		None	Kitchen	
	I never thought a italian dish could look so beautiful.	None		None	Kitchen	
	I feel a weird sensation in my pants. It's been a while since I felt aroused about anything.	None		None	Kitchen	Mute
	I start to wonder...	None		None	Kitchen	Mute
	Should I... ?	None		None	Kitchen	Fuck
	[OPT] I will stick my dick into it.	None	S1-8	None	Kitchen	
	[OPT] I will resist this weird urge.	None	S1-7	None	Kitchen	
						
7	I close my eyes and start thinking about something else. My mom. My family.	None		None	Kitchen	
	...	None		None	Kitchen	
	As I open my eyes, I see it:	None		None	Kitchen	
	My dick is inside the Lasagna. How did that happen? It feels so good.	None	S1-8	None	CG - Lasagna with dick	
						
8	"Oh my..."	Hameru Tabe		None	CG - Lasagna with dick	
	I haven't felt this good in a long time.	None		None	CG - Lasagna with dick	
	I decide to go all the way. I start pounding the Lasagna.	None		None	CG - Lasagna with dick	
	The tomato sauce spills all over my clothes, but I don't stop. It feels delicious. I can't stop. I should stop.	None		None	CG - Lasagna with dick	
	[OPT] Stop	None	S1-9	None	CG - Lasagna with dick	
	[OPT] Continue	None	S1-10	None	CG - Lasagna with dick	
						
9	I concentrate deeply and, with a sudden movement, pull myself away from the Lasagna.	None		None	Kitchen	
	I slip my dick inside my pants with some difficulties, since my dick is still hard as rock.	None		None	Kitchen	Mute
	Everything is a mess of tomato sauce and shame... But it felt so good...	None	S1-11	None	Kitchen	
						
10	I continue thrusting the Lasagna. This feels so wrong and so good at the same time.	None		None	CG - Lasagna with dick	Fuck
	...	None		None	CG - Lasagna with dick	
	"Ughn..."	Hameru Tabe		None	CG - Lasagna with dick	
		None	PAUSE	None	CG - Lasagna with dick	
	I came. Inside. The Lasagna.	None		None	Kitchen	
	Shit.	None		None	Kitchen	Mute
	Everything is a mess of tomato sauce, cum and shame... But it felt so good...	None	S1-11	None	Kitchen	
						
11	I try to clean everything up as good as I can, and then I decide to look for a bathroom to try to recompose...	None		None	Kitchen	Routine
	...And maybe clean myself better....	None		None	Kitchen	
	I am not thinking straight. What have I done?	None		None	School corridor	
	"There you are!"	Keisuke		Keisuke - Happy	School corridor	
	"Gah!"	Hameru Tabe		Keisuke - Spooked	School corridor	
	"Oh shit! Is that blood? Are you okay?"	Keisuke		Keisuke - Spooked	School corridor	
	"Yeah, yeah, I'm fine. This is not my blood. I mean, this is not blood. It is tomato sauce. I accidentally fell into a Lasagna..."	Hameru Tabe		Keisuke - Spooked	School corridor	
	"Ahm... what?"	Keisuke		Keisuke - Suspicious	School corridor	
	"Where is the nearest bathroom?"	Hameru Tabe		Keisuke - Suspicious	School corridor	
	"You fell... over a Lasagna? Are you Orika-chan?"	Keisuke		Keisuke - Suspicious	School corridor	
	"Who?"	Hameru Tabe		Keisuke - Suspicious	School corridor	
	"Nevermind, you'll eventually meet her. There's a bathroom just over there."	Keisuke		Keisuke - Neutral	School corridor	
	"Thanks. Can you take me to the dormitories later? I'm not feeling so good."	Hameru Tabe		Keisuke - Neutral	School corridor	
	"Sure! I'll be waiting right here! If you want, we can go to the infirmary."	Keisuke		Keisuke - Neutral	School corridor	
	Actually that sounds like a good idea. I am not feeling well.	None		Keisuke - Neutral	School corridor	
	"Okay, I think I may need something to calm me down. Let me just clean myself up a little on the bathroom."	Hameru Tabe		Keisuke - Neutral	School corridor	
	"Sure."	Keisuke		Keisuke - Neutral	School corridor	
	I go to the bathroom as fast as I can, while feeling the tomato sauce running down my legs, inside my pants.	None		None	School corridor	
	The bathroom seems cleaner than the kitchen. This sterile ambient calms me a little.	None		None	Bathroom	Routine
	There is someone using one of the sinks, but I just decide to ignore him.	None		None	Bathroom	
	I quickly grab some paper towels and go inside a stall to clean me up.	None		None	Bathroom	
	...	None		None	Bathroom	
	I sit a little bit on the toilet to try to set my mind straight.	None		None	Bathroom	
	...	None		None	Bathroom	
	Okay. I think I can go now.	None		None	Bathroom	
	As I open the stall door, I see a girl washing her hands on one of the sinks. Shit. Did I enter the women's bathroom?	None		Rokuko - Neutral	Bathroom	
